Paper_ID,Observation_ID ,Author,Year,Title,Journal,DOI,URL,Language,Database,Latitude,Longitude,Country,Taxa_level,Order,Family,Genus ,Binomial,Life_history_stage,Experimental_year_start,Experimental_year_end,Biodiversity_metric,Unit,IUCN_threat_category_1,IUCN_threat_category_2,IUCN_threat_category_3,Treatment,Treatment_quantity,Treatment_quantity_unit,Control,Control_quantity,Control_quantity_unit,Extracted_from,Evidence_type,Effect_size,Effect_size_type,Sample_variance,Sample_variance_type,Aggregated,Contributor_name,Search_date,Notes
Veromann_et_al_2013,,,2013,,,,,,,58.76694,26.4075,Estonia,,Coleoptera,Nitidulidae,Meligethes,,,2009,2009,Abundance,Individuals/plant,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.270140171,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 1b,,2.265043824,LogRR,0.371836554,,,Joe,,
Veromann_et_al_2013,,,2013,,,,,,,58.76694,26.4075,Estonia,,Coleoptera,Nitidulidae,Meligethes,,,2009,2009,Abundance,Individuals/plant,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.270140171,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 1b,,2.008432058,LogRR,0.350627701,,,Joe,,
Veromann_et_al_2013,,,2013,,,,,,,58.76694,26.4075,Estonia,,Coleoptera,Nitidulidae,Meligethes,,,2009,2009,Abundance,Individuals/plant,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.270140171,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 1b,,1.400811515,LogRR,0.366394711,,,Joe,,
Veromann_et_al_2013,,,2013,,,,,,,58.76694,26.4075,Estonia,,Coleoptera,Nitidulidae,Meligethes,,,2009,2009,Abundance,Individuals/plant,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.270140171,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 1b,,1.256215298,LogRR,0.362609714,,,Joe,,
Veromann_et_al_2013,,,2013,,,,,,,58.76694,26.4075,Estonia,,Coleoptera,Nitidulidae,Meligethes,,,2009,2009,Abundance,Individuals/plant,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.270140171,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 1b,,0.909838354,LogRR,0.35066555,,,Joe,,
Veromann_et_al_2013,,,2013,,,,,,,58.76694,26.4075,Estonia,,Coleoptera,Nitidulidae,Meligethes,,,2009,2009,Abundance,Individuals/plant,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.270140171,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 1b,,2.049754812,LogRR,0.362922061,,,Joe,,
Li_et_al_2019,,,2019,,,,,,,29.7,103.233333,China,,Coleoptera,NA,NA,,,2007,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,21.21485329,kg/ha/yr,No N addition,0,kg/ha/yr,Table 3,,0.006111781,LogRR,0.054546819,,,Joe,,
Li_et_al_2019,,,2019,,,,,,,29.7,103.233333,China,,Coleoptera,NA,NA,,,2007,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,21.21485329,kg/ha/yr,No N addition,0,kg/ha/yr,Table 3,,-1.38018258,LogRR,0.054546819,,,Joe,,
Li_et_al_2019,,,2019,,,,,,,29.7,103.233333,China,,Coleoptera,NA,NA,,,2007,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,21.21485329,kg/ha/yr,No N addition,0,kg/ha/yr,Table 3,,-0.6870354,LogRR,0.054546819,,,Joe,,
Li_et_al_2019,,,2019,,,,,,,29.7,103.233333,China,,Coleoptera,NA,NA,,,2007,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,21.21485329,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,-0.281570292,LogRR,0.054546819,,,Joe,,
Li_et_al_2019,,,2019,,,,,,,29.7,103.233333,China,,Coleoptera,NA,NA,,,2007,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,21.21485329,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,0.565727569,LogRR,0.054546819,,,Joe,,
Li_et_al_2019,,,2019,,,,,,,29.7,103.233333,China,,Coleoptera,NA,NA,,,2007,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,21.21485329,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,1.79787125,LogRR,0.054546819,,,Joe,,
Liu_et_al_2021,,,2021,,,,,,,24.37047624,113.0826758,China,,Coleoptera,NA,NA,,,2013,2015,Abundance,Individuals/m3,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,16.20537567,kg/ha/yr,No N addition,0,kg/ha/yr,Table 1,,-0.076527334,LogRR,0.055665629,,,Joe,,
Liu_et_al_2021,,,2021,,,,,,,24.37047624,113.0826758,China,,Coleoptera,NA,NA,,,2013,2015,Abundance,Individuals/m3,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,16.20537567,kg/ha/yr,No N addition,0,kg/ha/yr,Table 1,,0.0620472,LogRR,0.051870942,,,Joe,,
Liu_et_al_2021,,,2021,,,,,,,31.766767,114.0166882,China,,Coleoptera,NA,NA,,,2013,2015,Abundance,Individuals/m3,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,17.33076096,kg/ha/yr,No N addition,0,kg/ha/yr,Table 1,,0.089731715,LogRR,0.064115753,,,Joe,,
Liu_et_al_2021,,,2021,,,,,,,31.766767,114.0166882,China,,Coleoptera,NA,NA,,,2013,2015,Abundance,Individuals/m3,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,17.33076096,kg/ha/yr,No N addition,0,kg/ha/yr,Table 1,,0.140656085,LogRR,0.049522185,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Silphidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,2.306252161,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Silphidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,2.306252161,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Carabidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,0.609802872,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Carabidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,0.157817748,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Carabidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,-0.689480112,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Geotrupidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,-2.298918025,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Geotrupidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,0.003667068,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Geotrupidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,0.696814249,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Ochodaeidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,2.999399342,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Ochodaeidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,2.306252161,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Cicindelidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,1.38996143,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Cicindelidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,0.003667068,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Cicindelidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,0.003667068,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Rutelidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,3.40486445,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Rutelidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,2.306252161,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Rutelidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,2.306252161,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Nitidulidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,-2.298918025,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Nitidulidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,-2.298918025,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Nitidulidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,-2.298918025,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Tenebrionidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,0.157817748,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Tenebrionidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,-0.284015004,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Tenebrionidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,-0.535329432,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Coccinellidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,-2.298918025,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Coccinellidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,0.003667068,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Coccinellidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,0.696814249,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Curculionidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,0.409132177,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Curculionidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,0.003667068,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Curculionidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,1.102279357,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Histeridae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,2.306252161,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Stalinidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,2.999399342,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Meloidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,-2.298918025,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Meloidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,-2.298918025,LogRR,0.032545549,,,Joe,,
Cheng_et_al_2017,,,2017,,,,,,,44.166667,116.466667,China,,Coleoptera,Meloidae,NA,,,2011,2015,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,7.927511215,kg/ha/yr,No N addition,0,kg/ha/yr,Table 2,,0.696814249,LogRR,0.032545549,,,Joe,,
Chen_et_al_2009,,,2009,,,,,,,27.741539,117.964717,China,,Coleoptera,NA,NA,,,2004,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,13.83689213,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 6,,0.114323069,LogRR,0.008529181,,,Joe,,
Chen_et_al_2009,,,2009,,,,,,,27.741539,117.964717,China,,Coleoptera,NA,NA,,,2004,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,13.83689213,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 6,,0.402091678,LogRR,0.154429999,,,Joe,,
Chen_et_al_2009,,,2009,,,,,,,27.741539,117.964717,China,,Coleoptera,NA,NA,,,2004,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,13.83689213,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 6,,0.522678753,LogRR,0.049113304,,,Joe,,
Chen_et_al_2009,,,2009,,,,,,,27.741539,117.964717,China,,Coleoptera,NA,NA,,,2004,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,13.83689213,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 6,,0.72701988,LogRR,0.026641281,,,Joe,,
Chen_et_al_2009,,,2009,,,,,,,27.741539,117.964717,China,,Coleoptera,NA,NA,,,2004,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,13.83689213,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 6,,0.35967145,LogRR,0.123083286,,,Joe,,
Chen_et_al_2009,,,2009,,,,,,,27.741539,117.964717,China,,Coleoptera,NA,NA,,,2004,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,13.83689213,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 6,,-0.096541986,LogRR,0.110379917,,,Joe,,
Chen_et_al_2009,,,2009,,,,,,,27.741539,117.964717,China,,Coleoptera,NA,NA,,,2004,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,13.83689213,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 6,,0.218255145,LogRR,0.072216074,,,Joe,,
Chen_et_al_2009,,,2009,,,,,,,27.741539,117.964717,China,,Coleoptera,NA,NA,,,2004,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,13.83689213,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 6,,0.16737679,LogRR,0.114229974,,,Joe,,
Chen_et_al_2009,,,2009,,,,,,,27.741539,117.964717,China,,Coleoptera,NA,NA,,,2004,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,13.83689213,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 6,,-0.103805625,LogRR,0.288260582,,,Joe,,
Chen_et_al_2009,,,2009,,,,,,,27.741539,117.964717,China,,Coleoptera,NA,NA,,,2004,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,13.83689213,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 6,,-0.34191654,LogRR,0.155395689,,,Joe,,
Chen_et_al_2009,,,2009,,,,,,,27.741539,117.964717,China,,Coleoptera,NA,NA,,,2004,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,13.83689213,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 6,,0.322377669,LogRR,0.333017041,,,Joe,,
Chen_et_al_2009,,,2009,,,,,,,27.741539,117.964717,China,,Coleoptera,NA,NA,,,2004,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,13.83689213,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 6,,-0.228882871,LogRR,0.10829793,,,Joe,,
Lu_et_al_2013,,,2013,,,,,,,43.35,126.285,China,,Coleoptera,Carabidae,NA,,,2011,2011,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,11.86301136,kg/ha/yr,No N addition,0,kg/ha/yr,Table 3,,0.817041997,LogRR,0.054546819,,,Joe,,They only show the total number of individuals in four difference application rate levels of N. I calculated the average and also took the average N
Lu_et_al_2013,,,2013,,,,,,,43.35,126.285,China,,Coleoptera,Tenebrionidae,NA,,,2011,2011,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,11.86301136,kg/ha/yr,No N addition,0,kg/ha/yr,Table 3,,0.817041997,LogRR,0.054546819,,,Joe,,They only show the total number of individuals in four difference application rate levels of N. I calculated the average and also took the average N
Lu_et_al_2013,,,2013,,,,,,,43.35,126.285,China,,Coleoptera,Staphylinidae,NA,,,2011,2011,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,11.86301136,kg/ha/yr,No N addition,0,kg/ha/yr,Table 3,,0.123894816,LogRR,0.054546819,,,Joe,,They only show the total number of individuals in four difference application rate levels of N. I calculated the average and also took the average N
Zhuang_et_al_2010,,,2010,,,,,,,45.383333,127.533333,China,,Coleoptera,Cantharidae,NA,,,2008,2009,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,10.08602142,kg/ha/yr,No N addition,0,kg/ha/yr,Appendix 1,,1.483697562,LogRR,0.054546819,,,Joe,,Different studies are different depth of soil. Three soil cores of 10cm diameter were taken in plots of 600m2. The area of each 10cm is 0.00785m2 which multiplied by 3 gives the scaling factor: 0.02356
Zhuang_et_al_2010,,,2010,,,,,,,45.383333,127.533333,China,,Coleoptera,Elateridae,NA,,,2008,2009,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,10.08602142,kg/ha/yr,No N addition,0,kg/ha/yr,Appendix 1,,0.195071865,LogRR,0.054546819,,,Joe,,Different studies are different depth of soil. Three soil cores of 10cm diameter were taken in plots of 600m2. The area of each 10cm is 0.00785m2 which multiplied by 3 gives the scaling factor: 0.02356
Zhuang_et_al_2010,,,2010,,,,,,,45.383333,127.533333,China,,Coleoptera,Dermestidae,NA,,,2008,2009,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,10.08602142,kg/ha/yr,No N addition,0,kg/ha/yr,Appendix 1,,-2.70193842,LogRR,0.054546819,,,Joe,,Different studies are different depth of soil. Three soil cores of 10cm diameter were taken in plots of 600m2. The area of each 10cm is 0.00785m2 which multiplied by 3 gives the scaling factor: 0.02356
Zhuang_et_al_2010,,,2010,,,,,,,45.383333,127.533333,China,,Coleoptera,Mycetophagtdae,NA,,,2008,2009,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,10.08602142,kg/ha/yr,No N addition,0,kg/ha/yr,Appendix 1,,1.963385688,LogRR,0.054546819,,,Joe,,Different studies are different depth of soil. Three soil cores of 10cm diameter were taken in plots of 600m2. The area of each 10cm is 0.00785m2 which multiplied by 3 gives the scaling factor: 0.02356
Zhuang_et_al_2010,,,2010,,,,,,,45.383333,127.533333,China,,Coleoptera,Tenebrionidae,NA,,,2008,2009,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,10.08602142,kg/ha/yr,No N addition,0,kg/ha/yr,Appendix 1,,-0.80798801,LogRR,0.054546819,,,Joe,,Different studies are different depth of soil. Three soil cores of 10cm diameter were taken in plots of 600m2. The area of each 10cm is 0.00785m2 which multiplied by 3 gives the scaling factor: 0.02356
Zhuang_et_al_2010,,,2010,,,,,,,45.383333,127.533333,China,,Coleoptera,Scarabaeidae,NA,,,2008,2009,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,10.08602142,kg/ha/yr,No N addition,0,kg/ha/yr,Appendix 1,,0.175385622,LogRR,0.054546819,,,Joe,,Different studies are different depth of soil. Three soil cores of 10cm diameter were taken in plots of 600m2. The area of each 10cm is 0.00785m2 which multiplied by 3 gives the scaling factor: 0.02356
Zhuang_et_al_2010,,,2010,,,,,,,45.383333,127.533333,China,,Coleoptera,Chrysomelidae,NA,,,2008,2009,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,10.08602142,kg/ha/yr,No N addition,0,kg/ha/yr,Appendix 1,,-0.058807765,LogRR,0.054546819,,,Joe,,Different studies are different depth of soil. Three soil cores of 10cm diameter were taken in plots of 600m2. The area of each 10cm is 0.00785m2 which multiplied by 3 gives the scaling factor: 0.02356
Zhuang_et_al_2010,,,2010,,,,,,,45.383333,127.533333,China,,Coleoptera,Bruchidae,NA,,,2008,2009,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CO(NH2)2,10.08602142,kg/ha/yr,No N addition,0,kg/ha/yr,Appendix 1,,-0.012407267,LogRR,0.054546819,,,Joe,,Different studies are different depth of soil. Three soil cores of 10cm diameter were taken in plots of 600m2. The area of each 10cm is 0.00785m2 which multiplied by 3 gives the scaling factor: 0.02356
